playerID,year,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,team_wins,team_losses,conference_rank,playoff_made,confID
braxtka01w,10,504,252,167,41,19,18,51,79,201,106,62,40,18,16,3,1,0
brazian01w,1,203,51,34,5,5,0,17,24,49,19,19,13,8,24,8,0,0
brazian01w,2,341,127,77,7,9,13,20,27,115,50,35,27,10,22,6,0,0
bristre01w,2,5,0,2,0,0,0,1,0,1,0,0,0,18,14,4,1,0
brogami01w,1,725,211,111,49,30,6,36,88,137,70,79,63,20,12,4,1,1
brondsa01w,2,850,367,50,63,28,4,36,61,344,142,70,57,20,12,3,1,0
brondsa01w,3,763,263,41,46,26,4,40,40,266,97,67,55,15,17,6,0,0
brondsa01w,4,975,280,56,69,31,2,37,58,282,117,31,25,18,16,5,0,1
brownco01w,4,522,186,41,31,21,4,36,30,164,61,33,28,16,18,5,0,0
brownco01w,5,398,104,34,41,7,1,31,31,108,37,16,10,15,19,6,0,0
brownco01w,6,23,6,2,3,1,0,3,1,5,2,0,0,21,13,2,1,0
brownco01w,7,252,48,22,26,10,0,18,12,59,16,8,4,5,29,7,0,0
browned01w,1,619,188,88,72,24,5,68,77,168,60,80,67,14,18,5,0,0
browned01w,2,800,237,101,87,33,7,68,83,232,85,60,47,10,22,7,0,0
browned01w,3,549,115,82,58,25,7,60,73,131,43,32,23,9,23,8,0,0
browned01w,4,524,118,71,62,30,7,47,44,152,41,44,36,8,26,7,0,1
browned01w,7,28,4,4,1,1,0,2,2,5,1,2,2,18,16,3,1,1
brownki01w,3,108,28,12,6,5,0,5,10,35,12,3,3,17,15,3,1,0
brownki01w,4,269,60,32,28,13,1,22,23,72,24,3,2,9,25,7,0,0
brownki01w,5,371,104,50,42,13,2,33,21,88,35,24,21,17,17,4,1,0
brownki01w,6,18,0,1,2,1,0,2,1,0,0,0,0,19,15,3,1,1
brownki01w,6,14,2,0,0,2,0,2,0,2,1,0,0,16,18,5,0,0
brownki01w,7,58,20,8,9,2,0,3,7,20,6,8,7,11,23,5,0,0
brownki01w,8,327,131,39,48,12,3,25,21,99,39,40,35,10,24,7,0,1
brownki01w,8,29,11,5,2,1,1,2,5,9,2,8,6,10,24,6,0,1
brownki01w,9,530,158,59,66,19,0,39,41,146,52,34,31,20,14,3,1,1
brownki01w,10,393,130,55,38,13,3,29,35,123,47,22,18,16,18,6,0,0
brownru01w,1,679,253,124,44,38,13,59,81,187,93,78,66,17,15,2,1,0
brownru01w,2,760,249,132,37,44,10,37,73,195,101,63,46,22,10,1,1,0
brownru01w,3,468,112,75,27,21,8,39,54,105,42,38,28,10,22,7,0,0
brownru01w,4,483,125,83,16,29,10,35,88,116,53,23,19,18,16,2,1,0
brumfma01w,1,613,124,60,42,22,2,40,70,101,47,42,29,15,17,6,0,1
brumfma01w,2,247,44,25,32,20,0,24,27,60,17,5,5,20,12,3,1,0
brumfma01w,4,123,18,10,14,1,1,6,13,16,6,6,6,18,16,2,1,0
brungje01w,5,314,50,37,27,4,4,12,21,59,18,5,4,18,16,1,1,0
brungje01w,6,47,2,6,2,0,0,2,4,9,1,0,0,26,8,1,1,0
brungje01w,7,7,0,0,0,0,0,1,0,0,0,0,0,26,8,1,1,0
brunsre01w,5,494,151,122,19,23,13,29,48,140,59,46,33,18,16,4,1,1
brunsre01w,6,722,265,187,16,28,15,42,61,246,105,92,55,25,9,1,1,1
brunsre01w,7,597,232,191,17,21,15,40,65,204,94,75,44,21,13,2,1,1
brunsre01w,8,932,378,295,24,44,31,58,78,298,141,140,96,19,15,3,1,1
brunsre01w,9,779,327,213,13,36,20,51,82,270,135,85,57,18,16,4,1,1
brunsre01w,10,665,331,190,9,40,16,45,57,255,124,106,83,12,22,6,0,1
bullevi01w,1,1094,342,183,42,64,47,58,88,294,143,63,45,14,18,4,1,0
bullevi01w,2,1073,278,231,41,53,58,53,86,286,112,48,35,10,22,8,0,0
bullevi01w,3,953,271,186,53,54,37,56,84,236,109,41,34,17,15,3,1,0
burgean01w,2,731,124,76,88,26,2,60,45,141,47,27,16,10,22,8,0,0
burgean01w,3,632,125,62,93,34,4,41,39,101,39,45,35,17,15,3,1,0
burgean01w,4,841,131,79,112,27,1,52,47,134,50,25,15,9,25,7,0,0
burgeli01w,1,41,12,17,2,1,0,4,8,15,3,9,6,21,11,3,1,1
burraal01w,1,314,159,74,6,3,7,36,36,109,64,41,31,10,22,7,0,1
burraal01w,2,272,106,59,10,5,3,30,30,83,44,31,18,11,21,7,0,1
burraal01w,3,633,278,147,7,10,7,49,58,186,117,52,44,16,16,5,0,1
burraal01w,4,270,89,61,5,5,5,25,58,75,35,27,19,18,16,5,0,1
burseja01w,2,169,47,42,5,2,15,20,20,48,16,20,15,12,20,6,0,1
burseja01w,3,344,83,60,7,7,13,18,60,83,31,36,21,10,22,8,0,1
burseja01w,4,438,206,108,19,13,28,42,81,155,76,70,54,18,16,4,1,1
burseja01w,5,514,141,96,19,23,36,41,84,119,51,67,39,20,14,2,1,1
burseja01w,6,859,340,199,23,19,40,78,139,243,127,123,86,20,14,2,1,1
burseja01w,7,737,300,178,22,17,25,55,91,221,113,109,73,18,16,4,1,1
burseja01w,8,709,256,154,22,13,28,58,86,209,93,101,70,17,17,4,1,1
burseja01w,10,541,207,107,10,21,31,35,71,145,74,80,59,20,14,2,1,1
buttsta01w,5,423,76,62,25,13,7,23,37,80,24,25,18,18,16,3,1,1
byearla01w,1,521,181,122,21,30,5,35,72,143,75,49,30,21,11,3,1,1
byearla01w,2,739,297,183,29,42,13,38,112,221,133,52,30,28,4,1,1,1
byearla01w,3,486,182,141,13,19,4,20,89,123,76,53,30,25,7,1,1,1
byearla01w,4,72,28,21,2,0,2,2,12,25,10,11,8,24,10,1,1,1
byearla01w,7,330,112,87,10,12,2,35,58,107,48,20,16,18,16,4,1,0
byearla01w,8,327,151,75,16,23,5,37,60,110,65,36,21,13,21,5,0,1
byearla01w,9,46,18,12,1,3,0,1,16,17,8,3,2,17,17,5,0,1
campbed01w,1,510,222,34,37,19,4,40,35,215,84,58,41,6,26,8,0,1
campbed01w,2,854,260,85,74,19,9,64,45,244,92,43,33,20,12,2,1,1
campbed01w,3,12,4,1,0,1,0,0,0,5,2,0,0,14,18,6,0,1
campbed01w,4,724,267,70,43,21,5,43,42,244,98,33,25,19,15,3,1,1
campbed01w,5,332,74,19,16,5,2,15,24,76,29,2,0,18,16,4,1,1
campbed01w,6,248,48,14,14,7,0,15,20,67,21,1,1,7,27,7,0,1
campbmi01w,1,22,6,2,1,0,1,3,2,5,2,2,2,14,18,4,1,0
cantydo01w,1,784,257,70,82,49,5,51,64,203,83,131,91,14,18,5,0,0
cantydo01w,2,625,197,83,70,31,1,55,69,193,70,74,56,10,22,7,0,0
cantydo01w,3,625,160,69,83,21,4,56,59,154,52,76,55,9,23,8,0,0
cantydo01w,4,648,172,100,56,22,1,49,62,145,55,93,62,20,14,2,1,1
cantydo01w,5,770,177,84,64,32,1,45,61,150,63,72,51,13,21,6,0,1
