playerID,year,avg_rating,avg_conference_rank,team_wins,team_losses,minutes,playoffs_made,all_decade_team
wolvean01w,7,1.0,1.0,22,10,5,1,0
wrighsh01w,7,74.5,5.0,33,35,589,0,0
wrighta01w,7,144.0,2.0,20,14,528,1,0
wyckobr01w,7,183.0,3.5,73,59,2513,2,0
wynneda01w,7,4.0,2.0,20,12,3,1,0
yamasli01w,7,28.5,6.0,31,35,295,0,0
yilmane01w,7,9.0,7.0,17,51,111,0,0
youngca01w,7,60.0,6.0,27,37,465,0,0
zakalok01w,7,33.333333333333336,6.666666666666667,34,62,305,0,0
zarafr01w,7,101.0,2.0,20,14,413,1,0
zirkozu01w,7,10.0,7.0,9,25,30,0,0
