playerID,year,team,minutes,games_played,total_points,total_rebounds,total_assists,points_per_min,assists_per_min,rebounds_per_min,steals_per_min,blocks_per_min,turnovers_per_min,FG%,FT%,Three%,Three Rate,team_wins,team_losses,conference_rank,playoff_made,confID,MVP_winner
mabikmw01w,5,LAS,965,31,445,122,75,0.4611398963730569,0.077720207253886,0.1264248704663212,0.0373056994818652,0.0031088082901554,0.049740932642487,0.4151436031331593,0.8240740740740741,0.4042553191489361,0.2454308093994778,25,9,1,1,1,0
mabikmw01w,6,LAS,367,17,99,27,29,0.2697547683923705,0.0790190735694822,0.0735694822888283,0.0408719346049046,0.0,0.0381471389645776,0.319672131147541,0.5,0.2244897959183673,0.4016393442622951,17,17,4,1,1,0
mabikmw01w,7,LAS,679,32,272,64,48,0.4005891016200295,0.0706921944035346,0.0942562592047128,0.0279823269513991,0.0088365243004418,0.0544918998527245,0.3770491803278688,0.8888888888888888,0.3333333333333333,0.3934426229508196,25,9,1,1,1,0
mabikmw01w,8,LAS,762,33,267,126,72,0.3503937007874015,0.0944881889763779,0.1653543307086614,0.0367454068241469,0.0052493438320209,0.0958005249343832,0.3643410852713178,0.7543859649122807,0.3103448275862069,0.4496124031007752,10,24,7,0,1,0
mabikmw01w,9,HOU,327,20,92,37,17,0.2813455657492354,0.0519877675840978,0.1131498470948012,0.0305810397553516,0.0,0.036697247706422,0.303030303030303,0.7142857142857143,0.2741935483870967,0.6262626262626263,17,17,5,0,1,0
macchla01w,5,LAS,410,25,152,61,14,0.3707317073170731,0.0341463414634146,0.148780487804878,0.0512195121951219,0.0146341463414634,0.0707317073170731,0.490566037735849,0.7454545454545455,0.2692307692307692,0.2452830188679245,25,9,1,1,1,0
macchla01w,6,LAS,148,13,63,18,7,0.4256756756756756,0.0472972972972973,0.1216216216216216,0.054054054054054,0.0067567567567567,0.0878378378378378,0.3962264150943396,0.7058823529411765,0.3214285714285714,0.5283018867924528,17,17,4,1,1,0
machacl01w,1,LAS,421,31,110,72,18,0.2612826603325415,0.0427553444180522,0.171021377672209,0.0308788598574821,0.009501187648456,0.0451306413301662,0.5783132530120482,0.56,0.0,0.0120481927710843,28,4,1,1,1,0
machacl01w,2,CHA,580,30,163,121,17,0.2810344827586207,0.0293103448275862,0.2086206896551724,0.0275862068965517,0.0275862068965517,0.0706896551724138,0.5,0.6491228070175439,0.0,0.0,18,14,4,1,0,0
machacl01w,3,ORL,428,29,138,64,17,0.322429906542056,0.0397196261682243,0.1495327102803738,0.02803738317757,0.0093457943925233,0.0771028037383177,0.5350877192982456,0.64,0.0,0.0,16,16,5,0,0,0
mahonme01w,7,CON,351,31,76,66,24,0.2165242165242165,0.0683760683760683,0.188034188034188,0.0199430199430199,0.0028490028490028,0.0712250712250712,0.3058823529411765,0.8947368421052632,0.2413793103448276,0.3411764705882353,26,8,1,1,0,0
mahonme01w,8,CON,121,18,31,14,8,0.256198347107438,0.0661157024793388,0.1157024793388429,0.0330578512396694,0.0082644628099173,0.0909090909090909,0.25,0.7272727272727273,0.1666666666666666,0.2142857142857142,18,16,3,1,0,0
mahonsh01w,1,NYL,158,15,27,30,4,0.170886075949367,0.0253164556962025,0.189873417721519,0.0126582278481012,0.0063291139240506,0.0316455696202531,0.2894736842105263,0.5,0.2,0.131578947368421,20,12,1,1,0,0
mahonsh01w,3,PHO,13,3,5,2,1,0.3846153846153846,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0769230769230769,0.6666666666666666,1.0,0.0,0.3333333333333333,11,21,7,0,1,0
maigaha01w,3,SAC,197,23,40,37,9,0.2030456852791878,0.0456852791878172,0.1878172588832487,0.0761421319796954,0.015228426395939,0.116751269035533,0.2452830188679245,0.4666666666666667,0.0,0.0,14,18,6,0,1,0
maigaha01w,4,SAC,190,22,42,37,14,0.2210526315789473,0.0736842105263157,0.1947368421052631,0.0947368421052631,0.0105263157894736,0.0736842105263157,0.3269230769230769,0.4,0.0,0.0,19,15,3,1,1,0
maigaha01w,5,SAC,480,34,140,71,25,0.2916666666666667,0.0520833333333333,0.1479166666666666,0.0604166666666666,0.0125,0.1020833333333333,0.4696969696969697,0.5517241379310345,0.0,0.0,18,16,4,1,1,0
maigaha01w,6,SAC,408,34,129,67,30,0.3161764705882353,0.0735294117647058,0.1642156862745098,0.0588235294117647,0.0147058823529411,0.1029411764705882,0.4503816793893129,0.3142857142857143,0.0,0.0,25,9,1,1,1,0
maigaha01w,7,SAC,537,34,177,73,30,0.329608938547486,0.0558659217877094,0.1359404096834264,0.0595903165735568,0.0167597765363128,0.0837988826815642,0.4746835443037974,0.5625,0.0,0.0063291139240506,21,13,2,1,1,0
